Title,Price,Star,Rating,Genre,Badge,Url,ASIN
Moonflower Murders: A Novel,$0.00,4.4 out of 5 stars,861,Empty,Empty,https://www.amazon.com//Moonflower-Murders-A-Novel/dp/B084R75JFX/ref=sr_1_66?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-66,B084R75JFX
Batman: Three Jokers,$18.49,4.5 out of 5 stars,17,in DC Comics & Graphic Novels,Best Seller,https://www.amazon.com//Batman-Three-Jokers-Geoff-Johns/dp/1779500238/ref=sr_1_67?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-67,1779500238
The Complete America's Test Kitchen TV Show Cookbook 2001-2021: Every Recipe from the HIt TV Show Along with Product Ratings Includes the 2021 Season (Complete ATK TV Show Cookbook),$26.40,4.7 out of 5 stars,120,in Consumer Guides,Best Seller,https://www.amazon.com//Complete-Americas-Kitchen-Cookbook-2001-2021/dp/1948703424/ref=sr_1_68?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-68,1948703424
Milk Bar: Kids Only: A Cookbook,$16.13,4.6 out of 5 stars,74,Empty,Empty,https://www.amazon.com//Milk-Bar-Kids-Only-Cookbook/dp/0593231929/ref=sr_1_69?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-69,0593231929
"Truly, Madly, Deeply: A Novel (The Baxter Family)",$13.99,4.8 out of 5 stars,412,Empty,Empty,https://www.amazon.com//Truly-Madly-Deeply-Baxter-Family/dp/1982104384/ref=sr_1_70?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-70,1982104384
7 Ways: Easy Ideas for Every Day of the Week [American Measurements],$28.93,4.7 out of 5 stars,"4,736",in Potato Cooking,Best Seller,https://www.amazon.com//Ways-Ideas-Every-American-Measurements/dp/1250787572/ref=sr_1_71?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-71,1250787572
The Practice: Shipping Creative Work,$0.00,4.5 out of 5 stars,72,Empty,Empty,https://www.amazon.com//The-Practice-Shipping-Creative-Work/dp/B089B7SZCN/ref=sr_1_72?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-72,B089B7SZCN
Hallmark Channel Countdown to Christmas: Have a Very Merry Movie Holiday,$15.57,4.7 out of 5 stars,316,in Jewish Holiday Cooking,Best Seller,https://www.amazon.com//Hallmark-Channel-Countdown-Christmas-Holiday/dp/1950785246/ref=sr_1_73?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-73,1950785246
The Rise: Black Cooks and the Soul of American Food: A Cookbook,$33.49,4.7 out of 5 stars,81,Empty,Empty,https://www.amazon.com//Rise-Black-Cooks-Soul-American/dp/0316480681/ref=sr_1_74?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-74,0316480681
Dinner Done by Between Carpools,$29.89,Empty,Empty,in Kosher Cooking,Best Seller,https://www.amazon.com//Dinner-Done-Between-Carpools-Schapira/dp/1422627381/ref=sr_1_75?dchild=1&fst=as%3Aoff&qid=1605801215&refinements=p_n_publication_date%3A1250226011&rnid=1250225011&s=books&sr=1-75,1422627381
